img_path,person_id,bmi
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1ayhhj/1ayhhj_ctUuQeh_198_70_true_188_1.33.jpg,1ayhhj,28.41
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2f53ah/2f53ah_4NeCMLi_125_63_true_705_1.22.jpg,2f53ah,22.14
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2f53ah/2f53ah_AvCmGN9_180_63_true_705_1.22.jpg,2f53ah,31.88
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1atru0/1atru0_Pbw5zae_149_64_true_108_1.52.jpg,1atru0,25.57
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1atru0/1atru0_zbw5zae_131_64_true_108_1.52.jpg,1atru0,22.48
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2u38fo/2u38fo_pqEvlon_181_72_false_1362_1.0.jpg,2u38fo,24.55
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2u38fo/2u38fo_pqEvlon_295_72_false_1362_1.0.jpg,2u38fo,40.0
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/28mzfq/28mzfq_b0Rs1lw_278_72_false_45_1.68.jpg,28mzfq,37.7
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/28mzfq/28mzfq_b0Rs1lw_292_72_false_45_1.68.jpg,28mzfq,39.6
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4l8u1z/4l8u1z_k5GrQBS_185_73_false_207_1.0.jpg,4l8u1z,24.41
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4l8u1z/4l8u1z_k5GrQBS_335_73_false_207_1.0.jpg,4l8u1z,44.19
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1xrx22/1xrx22_1R5oRbG_226_66_true_391_1.33.jpg,1xrx22,36.47
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1xrx22/1xrx22_zR5oRbG_175_66_true_391_1.33.jpg,1xrx22,28.24
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/478zob/478zob_eW59b0p_220_69_false_134_1.27.jpg,478zob,32.48
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/478zob/478zob_eW59b0p_170_69_false_134_1.27.jpg,478zob,25.1
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2t2bw9/2t2bw9_lsMFarD_245_71_false_177_0.56.jpg,2t2bw9,34.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2t2bw9/2t2bw9_lsMFarD_154_71_false_177_0.56.jpg,2t2bw9,21.48
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3ocm0j/3ocm0j_eJqxURc_170_68_false_58_0.33.jpg,3ocm0j,25.85
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3ocm0j/3ocm0j_xXOUhzT_231_68_false_58_0.33.jpg,3ocm0j,35.12
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xsx05/2xsx05_jE11CwV_288_71_false_128_1.17.jpg,2xsx05,40.16
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xsx05/2xsx05_jE11CwV_246_71_false_128_1.17.jpg,2xsx05,34.31
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/26erih/26erih_kEfTkND_145_67_false_3_0.57.jpg,26erih,22.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/26erih/26erih_jEfTkND_145_67_false_3_0.57.jpg,26erih,22.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4jcysg/4jcysg_SFnEfwL_247_74_false_84_1.0.jpg,4jcysg,31.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4jcysg/4jcysg_SFnEfwL_360_74_false_84_1.0.jpg,4jcysg,46.22
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2wgqi5/2wgqi5_X5pMW4D_230_67_true_109_1.0.jpg,2wgqi5,36.02
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2wgqi5/2wgqi5_X5pMW4D_215_67_true_109_1.0.jpg,2wgqi5,33.67
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/27csml/27csml_FvhjDBf_150_65_false_2_0.67.jpg,27csml,24.96
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/27csml/27csml_dvhjDBf_150_65_false_2_0.67.jpg,27csml,24.96
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4bi9h1/4bi9h1_5sUyZpO_188_73_false_215_0.75.jpg,4bi9h1,24.8
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4bi9h1/4bi9h1_lr3zbMN_188_73_false_215_0.75.jpg,4bi9h1,24.8
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4c5k4d/4c5k4d_LkX65rA_179_70_false_1754_1.0.jpg,4c5k4d,25.68
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4c5k4d/4c5k4d_LkX65rA_285_70_false_1754_1.0.jpg,4c5k4d,40.89
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3rdnjq/3rdnjq_q2BkR3r_175_71_false_16_0.6.jpg,3rdnjq,24.4
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3rdnjq/3rdnjq_n0YB1rQ_152_71_false_16_0.6.jpg,3rdnjq,21.2
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2b39du/2b39du_8XiOlQ6_258_72_false_44_1.33.jpg,2b39du,34.99
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2b39du/2b39du_BY7kmCK_208_72_false_44_1.33.jpg,2b39du,28.21
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fvw01/3fvw01_qelatDi_250_66_true_205_1.0.jpg,3fvw01,40.35
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fvw01/3fvw01_qelatDi_195_66_true_205_1.0.jpg,3fvw01,31.47
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1hdjrd/1hdjrd_zFy6f0P_185_71_false_8_1.73.jpg,1hdjrd,25.8
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1hdjrd/1hdjrd_eFy6f0P_235_71_false_8_1.73.jpg,1hdjrd,32.77
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fceme/3fceme_FNnzOHk_195_63_true_70_1.0.jpg,3fceme,34.54
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3fceme/3fceme_FNnzOHk_150_63_true_70_1.0.jpg,3fceme,26.57
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3zsvya/3zsvya_34MqQuQ_125_63_true_1574_0.6.jpg,3zsvya,22.14
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3zsvya/3zsvya_34MqQuQ_151_63_true_1574_0.6.jpg,3zsvya,26.75
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3r0uwd/3r0uwd_VKz5Lua_245_67_true_566_1.0.jpg,3r0uwd,38.37
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3r0uwd/3r0uwd_VKz5Lua_170_67_true_566_1.0.jpg,3r0uwd,26.62
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xt1d5/3xt1d5_r2R5gC2_130_65_true_513_1.0.jpg,3xt1d5,21.63
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3xt1d5/3xt1d5_r2R5gC2_180_65_true_513_1.0.jpg,3xt1d5,29.95
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47ry2s/47ry2s_XrPcEfV_344_75_false_462_1.0.jpg,47ry2s,42.99
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/47ry2s/47ry2s_XrPcEfV_230_75_false_462_1.0.jpg,47ry2s,28.74
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3g4t8d/3g4t8d_FvYTnGJ_365_69_false_104_0.75.jpg,3g4t8d,53.9
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3g4t8d/3g4t8d_txxSy1g_303_69_false_104_0.75.jpg,3g4t8d,44.74
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2fqm8p/2fqm8p_84tE7Px_175_64_true_713_1.0.jpg,2fqm8p,30.04
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2fqm8p/2fqm8p_84tE7Px_250_64_true_713_1.0.jpg,2fqm8p,42.91
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4apvfl/4apvfl_leUGyMy_195_70_false_145_0.75.jpg,4apvfl,27.98
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4apvfl/4apvfl_DCUPebC_305_70_false_145_0.75.jpg,4apvfl,43.76
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2yppit/2yppit_kaFKgmd_225_78_false_1_0.56.jpg,2yppit,26.0
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2yppit/2yppit_zaFKgmd_225_78_false_1_0.56.jpg,2yppit,26.0
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/42sy1w/42sy1w_S13zXLv_206_68_true_1426_1.0.jpg,42sy1w,31.32
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/42sy1w/42sy1w_S13zXLv_156_68_true_1426_1.0.jpg,42sy1w,23.72
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/23d1hr/23d1hr_Lpig4mM_246_66_true_1721_1.0.jpg,23d1hr,39.7
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/23d1hr/23d1hr_Lpig4mM_169_66_true_1721_1.0.jpg,23d1hr,27.27
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1nwn5q/1nwn5q_alnUaRY_165_71_false_122_1.16.jpg,1nwn5q,23.01
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1nwn5q/1nwn5q_JaYvwEf_205_71_false_122_1.16.jpg,1nwn5q,28.59
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xr9bw/2xr9bw_z9s3BoV_327_74_false_1_0.75.jpg,2xr9bw,41.98
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xr9bw/2xr9bw_A9s3BoV_327_74_false_1_0.75.jpg,2xr9bw,41.98
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/kd87a/kd87a_O1tn4_169_70_false_9_1.38.jpg,kd87a,24.25
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/kd87a/kd87a_O1tn4_173_70_false_9_1.38.jpg,kd87a,24.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3zmy4w/3zmy4w_vTIEJsv_225_73_false_75_1.0.jpg,3zmy4w,29.68
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3zmy4w/3zmy4w_vTIEJsv_300_73_false_75_1.0.jpg,3zmy4w,39.58
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/42chr3/42chr3_vZNh39R_263_72_false_56_0.56.jpg,42chr3,35.67
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/42chr3/42chr3_7vZvFVI_227_72_false_56_0.56.jpg,42chr3,30.78
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xtxf5/2xtxf5_QJNhZfj_193_71_false_38_0.75.jpg,2xtxf5,26.92
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2xtxf5/2xtxf5_qyiWMim_173_71_false_38_0.75.jpg,2xtxf5,24.13
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/24gr72/24gr72_zJKf5ZA_200_71_false_51_1.37.jpg,24gr72,27.89
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/24gr72/24gr72_zJKf5ZA_208_71_false_51_1.37.jpg,24gr72,29.01
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3t9nb1/3t9nb1_XGdCp69_177_73_false_9_0.75.jpg,3t9nb1,23.35
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3t9nb1/3t9nb1_Yz5m38J_155_73_false_9_0.75.jpg,3t9nb1,20.45
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3330dk/3330dk_jqe4jRA_246_72_false_75_0.56.jpg,3330dk,33.36
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/3330dk/3330dk_0g9GOHI_205_72_false_75_0.56.jpg,3330dk,27.8
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2umw8a/2umw8a_zS91QFN_183_72_false_71_1.0.jpg,2umw8a,24.82
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2umw8a/2umw8a_zS91QFN_207_72_false_71_1.0.jpg,2umw8a,28.07
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/34qc0f/34qc0f_cPOSMyu_199_64_true_426_0.96.jpg,34qc0f,34.15
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/34qc0f/34qc0f_cPOSMyu_262_64_true_426_0.96.jpg,34qc0f,44.97
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/35ytfr/35ytfr_9B7VymY_209_70_false_33_0.75.jpg,35ytfr,29.99
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/35ytfr/35ytfr_RjdwS1Z_191_70_false_33_0.75.jpg,35ytfr,27.4
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2be66q/2be66q_MCthLSE_184_69_false_83_1.0.jpg,2be66q,27.17
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2be66q/2be66q_MCthLSE_195_69_false_83_1.0.jpg,2be66q,28.79
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4ppvi4/4ppvi4_wSds6ay_158_66_false_191_1.0.jpg,4ppvi4,25.5
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/4ppvi4/4ppvi4_wSds6ay_134_66_false_191_1.0.jpg,4ppvi4,21.63
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/19fhc3/19fhc3_ST5Kzs9_200_68_false_9_0.76.jpg,19fhc3,30.41
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/19fhc3/19fhc3_Si5Kzs9_200_68_false_9_0.76.jpg,19fhc3,30.41
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1babvg/1babvg_AwFC5bl_170_67_true_747_1.17.jpg,1babvg,26.62
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1babvg/1babvg_AwFC5bl_245_67_true_747_1.17.jpg,1babvg,38.37
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2do6e0/2do6e0_DAwnBcK_344_71_false_958_1.0.jpg,2do6e0,47.97
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2do6e0/2do6e0_DAwnBcK_428_71_false_958_1.0.jpg,2do6e0,59.69
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1m5uky/1m5uky_iaj14sq_130_67_false_79_1.34.jpg,1m5uky,20.36
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1m5uky/1m5uky_8IORlsE_170_67_false_79_1.34.jpg,1m5uky,26.62
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1buxz1/1buxz1_TPtq5Q2_199_68_false_127_1.5.jpg,1buxz1,30.25
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1buxz1/1buxz1_TPtq5Q2_287_68_false_127_1.5.jpg,1buxz1,43.63
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1cyw5a/1cyw5a_hCI7rDK_179_68_false_193_0.51.jpg,1cyw5a,27.21
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/1cyw5a/1cyw5a_AQv0v5G_235_68_false_193_0.51.jpg,1cyw5a,35.73
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2u8hjt/2u8hjt_geNN2mA_145_67_true_100_2.7.jpg,2u8hjt,22.71
/kaggle/input/datasets/abidur14004/visual-bmi/Visual BMI/bodyface_1to17/2u8hjt/2u8hjt_geNN2mA_139_67_true_100_2.7.jpg,2u8hjt,21.77
